description,category
Pillar has developed major cracks after rain.,Building Department
Uncollected  garbage  creating  foul  smell.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Pillar has developed major cracks after rain.,Building Department
Manhole cover broken and unsafe.,Sewerage Department
Staircase railing loose and unsafe.,Building Department
tap connection broken causing leakage.,Water Supply Department
No  water  supply  since  morning.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
"Roadside barrier broken, safety concern.",Road Department
Main pipeline leak creating swamp.,Water Supply Department
Drainage  water  entering  houses  after  rain.,Sanitation Department
Drain overflows every time it rains. please resolve urgently.,Sanitation Department
Drain clogged and water stagnating.,Sanitation Department
Water supply interrupted for two days.,Water Supply Department
Dustbins overflowing and attracting flies.,Sanitation Department
electricity supply unstable with voltage drops. please resolve urgently.,Electric Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
Low water pressure in all houses.,Water Supply Department
Road surface cracked and uneven.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Drain overflows every time it rains.,Sanitation Department
Loose electric wires hanging near the road.,Electric Department
building  foundation  showing  signs  of  sinking.,Building Department
Uncollected garbage creating foul smell.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
Sewer line blocked causing overflow.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Manhole overflowing with sewage water.,Sewerage Department
"roadside barrier broken, safety concern.",Road Department
Manhole overflowing with sewage water.,Sewerage Department
Waste blocking the drainage system.,Sanitation Department
power  outage  since  early  morning  due  to  faulty  wires.,Electric Department
Building foundation showing signs of sinking.,Building Department
manhole cover broken and unsafe.,Sewerage Department
"electric  cables  exposed,  risky  for  pedestrians.",Electric Department
Footpath broken and unsafe for walking.,Road Department
Water flow extremely low despite full pressure.,Water Supply Department
Power outage since early morning due to faulty wires.,Electric Department
Garbage has not been collected for several days.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Ceiling plaster falling off in the hallway.,Building Department
manhole cover broken and unsafe.,Sewerage Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Balcony railing rusted and may break. please resolve urgently.,Building Department
Pipeline damaged during road work.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Waste blocking the drainage system.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Waste blocking the drainage system.,Sanitation Department
drainage  water  overflowing  in  the  street.,Sanitation Department
Water flow extremely low despite full pressure.,Water Supply Department
Main pipeline leak creating swamp.,Water Supply Department
Railing on the staircase is broken and dangerous.,Building Department
"Street light bulb fused, area dark at night.",Electric Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
electricity supply unstable with voltage drops.,Electric Department
Road divider damaged in an accident.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
Structural damage visible on the outer wall.,Building Department
underground sewerage pipe damaged.,Sewerage Department
main pipeline leak creating swamp.,Water Supply Department
Drainage water entering houses after rain.,Sanitation Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
loose  electric  wires  hanging  near  the  road.,Electric Department
Road divider damaged in an accident.,Road Department
Manhole cover missing and cars getting stuck.,Road Department
Road full of potholes causing damage to vehicles.,Road Department
No water supply since morning.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Pipeline damaged during road work.,Water Supply Department
Current pole damaged and sparking.,Electric Department
dirty sewer water entering shops after rain.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
Main  pipeline  leak  creating  swamp.,Water Supply Department
Structural damage visible on the outer wall.,Building Department
Staircase railing loose and unsafe.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Sewage  water  stagnating  near  road.,Sewerage Department
Current pole damaged and sparking.,Electric Department
speed breakers are not marked properly and vehicles are slipping. please resolve urgently.,Road Department
drainage water entering houses after rain.,Sanitation Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Open  sewer  line  giving  foul  smell.,Sewerage Department
Road surface cracked and uneven.,Road Department
Drain overflows every time it rains.,Sanitation Department
Drainage water overflowing in the street.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
electricity supply unstable with voltage drops.,Electric Department
Drain overflows every time it rains.,Sanitation Department
Drain overflows every time it rains.,Sanitation Department
Road divider damaged in an accident. please resolve urgently.,Road Department
Pipeline burst causing water wastage.,Water Supply Department
Low water pressure in all houses.,Water Supply Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Drain clogged and water stagnating.,Sanitation Department
drain overflows every time it rains.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
road full of potholes causing damage to vehicles.,Road Department
Sewer pipeline clogged completely.,Sewerage Department
pipeline damaged during road work.,Water Supply Department
Dustbins overflowing and attracting flies.,Sanitation Department
Staircase railing loose and unsafe. please resolve urgently.,Building Department
Drain clogged and water stagnating.,Sanitation Department
"Speed bump too high, damaging cars. please resolve urgently.",Road Department
Sewage water stagnating near road.,Sewerage Department
cracks appearing on the walls of the building.,Building Department
Sewer  pipeline  clogged  completely.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Water supply interrupted for two days.,Water Supply Department
manhole overflowing with sewage water.,Sewerage Department
Drain clogged and water stagnating.,Sanitation Department
faded lane markings causing confusion.,Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
"Electric cables exposed, risky for pedestrians.",Electric Department
"Speed bump too high, damaging cars.",Road Department
ceiling plaster falling off in the hallway.,Building Department
Faded  lane  markings  causing  confusion.  please  resolve  urgently.,Road Department
Electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
Waste blocking the drainage system.,Sanitation Department
Electricity  supply  unstable  with  voltage  drops.,Electric Department
manhole  overflowing  with  sewage  water.,Sewerage Department
Sewage  backflow  in  washrooms.,Sewerage Department
Dustbins overflowing and attracting flies.,Sanitation Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Wall near staircase damaged and unstable.,Building Department
Road full of potholes causing damage to vehicles.,Road Department
Underground sewerage pipe damaged.,Sewerage Department
Manhole overflowing with sewage water.,Sewerage Department
Water supply interrupted for two days.,Water Supply Department
Cracks  appearing  on  the  walls  of  the  building.  please  resolve  urgently.,Building Department
Open  sewer  line  giving  foul  smell.,Sewerage Department
Roof  leakage  worsening  due  to  heavy  rain.,Building Department
Waste accumulation causing mosquito breeding.,Sanitation Department
tap water muddy and smells bad.,Water Supply Department
Ceiling plaster falling off in the hallway.,Building Department
water pipes leaking heavily and flooding the area.,Water Supply Department
Ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
staircase railing loose and unsafe.,Building Department
faded lane markings causing confusion. please resolve urgently.,Road Department
manhole cover missing and cars getting stuck.,Road Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Balcony railing rusted and may break.,Building Department
Balcony railing rusted and may break.,Building Department
Uncollected  garbage  creating  foul  smell.  please  resolve  urgently.,Sanitation Department
Building foundation showing signs of sinking.,Building Department
Sewer line blocked causing overflow.,Sewerage Department
Sewer line blocked causing overflow.,Sewerage Department
Current pole damaged and sparking.,Electric Department
faded lane markings causing confusion.,Road Department
Waste blocking the drainage system.,Sanitation Department
Potholes filled with water after rain.,Road Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Drainage  water  entering  houses  after  rain.,Sanitation Department
Current pole damaged and sparking.,Electric Department
Electricity supply unstable with voltage drops.,Electric Department
Sewage water stagnating near road.,Sewerage Department
Railing on the staircase is broken and dangerous.,Building Department
Dustbins overflowing and attracting flies.,Sanitation Department
"Transformer overloaded, making loud noise. please resolve urgently.",Electric Department
Wall near staircase damaged and unstable.,Building Department
speed  breakers  are  not  marked  properly  and  vehicles  are  slipping.,Road Department
"Speed  bump  too  high,  damaging  cars.",Road Department
"Electric cables exposed, risky for pedestrians.",Electric Department
"Street light bulb fused, area dark at night.",Electric Department
Roof leakage worsening due to heavy rain.,Building Department
Sewage backflow in washrooms.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
Manhole cover broken and unsafe.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
Potholes filled with water after rain.,Road Department
Drain clogged and water stagnating.,Sanitation Department
sewage backflow in washrooms.,Sewerage Department
Sewer pipeline clogged completely.,Sewerage Department
Wall near staircase damaged and unstable.,Building Department
Main pipeline leak creating swamp.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
Potholes filled with water after rain.,Road Department
Low water pressure in all houses.,Water Supply Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Electric  pole  leaning  dangerously  after  storm.,Electric Department
Pillar has developed major cracks after rain.,Building Department
sewer pipeline clogged completely.,Sewerage Department
Roof leakage worsening due to heavy rain.,Building Department
speed breakers are not marked properly and vehicles are slipping.,Road Department
Drain clogged and water stagnating.,Sanitation Department
Tap  connection  broken  causing  leakage.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
Dirty sewer water entering shops after rain.,Sewerage Department
potholes filled with water after rain. please resolve urgently.,Road Department
dirty sewer water entering shops after rain.,Sewerage Department
Cracks appearing on the walls of the building.,Building Department
Footpath broken and unsafe for walking.,Road Department
Pillar has developed major cracks after rain.,Building Department
Footpath broken and unsafe for walking.,Road Department
Drainage water entering houses after rain.,Sanitation Department
loose electric wires hanging near the road.,Electric Department
Manhole cover broken and unsafe.,Sewerage Department
Open sewer line giving foul smell.,Sewerage Department
No water supply since morning.,Water Supply Department
"electric cables exposed, risky for pedestrians.",Electric Department
Transformer burst causing power outage.,Electric Department
Drain overflows every time it rains. please resolve urgently.,Sanitation Department
Building foundation showing signs of sinking.,Building Department
sewer pipeline clogged completely.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Low water pressure in all houses.,Water Supply Department
sewage water stagnating near road.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Water  pipes  leaking  heavily  and  flooding  the  area.,Water Supply Department
Road full of potholes causing damage to vehicles.,Road Department
Uncollected garbage creating foul smell. please resolve urgently.,Sanitation Department
Power outage since early morning due to faulty wires.,Electric Department
Faded lane markings causing confusion. please resolve urgently.,Road Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
Sewage leaking into nearby houses.,Sewerage Department
Street lights have been off for the past week.,Electric Department
No water supply since morning.,Water Supply Department
Ceiling  plaster  falling  off  in  the  hallway.,Building Department
sewage water stagnating near road.,Sewerage Department
"Electric cables exposed, risky for pedestrians.",Electric Department
balcony railing rusted and may break.,Building Department
Road divider damaged in an accident. please resolve urgently.,Road Department
Cracks appearing on the walls of the building.,Building Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Road full of potholes causing damage to vehicles.,Road Department
Sewer pipeline clogged completely.,Sewerage Department
Sewer line blocked causing overflow.,Sewerage Department
open sewer line giving foul smell.,Sewerage Department
Faded lane markings causing confusion.,Road Department
"Speed  bump  too  high,  damaging  cars.",Road Department
Structural damage visible on the outer wall.,Building Department
drain overflows every time it rains.,Sanitation Department
"Street  light  bulb  fused,  area  dark  at  night.",Electric Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
Pillar has developed major cracks after rain.,Building Department
Balcony railing rusted and may break.,Building Department
Sewage backflow in washrooms.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Transformer burst causing power outage.,Electric Department
loose electric wires hanging near the road.,Electric Department
roof leakage worsening due to heavy rain.,Building Department
Sewage water stagnating near road.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
Power outage since early morning due to faulty wires.,Electric Department
Ceiling plaster falling off in the hallway.,Building Department
Sewage backflow in washrooms.,Sewerage Department
Open  sewer  line  giving  foul  smell.,Sewerage Department
Electricity supply unstable with voltage drops.,Electric Department
Transformer burst causing power outage.,Electric Department
Low water pressure in all houses.,Water Supply Department
dustbins overflowing and attracting flies.,Sanitation Department
Sewage  leaking  into  nearby  houses.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Current pole damaged and sparking.,Electric Department
Sewer pipeline clogged completely.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
Tap connection broken causing leakage.,Water Supply Department
Road  divider  damaged  in  an  accident.,Road Department
water supply interrupted for two days.,Water Supply Department
Underground  sewerage  pipe  damaged.,Sewerage Department
Dustbins  overflowing  and  attracting  flies.,Sanitation Department
Underground  sewerage  pipe  damaged.,Sewerage Department
Drain overflows every time it rains.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
Tap connection broken causing leakage.,Water Supply Department
Current pole damaged and sparking.,Electric Department
Sewage backflow in washrooms.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Structural damage visible on the outer wall.,Building Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
Drain overflows every time it rains.,Sanitation Department
waste blocking the drainage system. please resolve urgently.,Sanitation Department
Potholes filled with water after rain.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Tap connection broken causing leakage.,Water Supply Department
Ceiling plaster falling off in the hallway.,Building Department
Manhole cover broken and unsafe.,Sewerage Department
road surface cracked and uneven.,Road Department
"Transformer overloaded, making loud noise.",Electric Department
Street lights have been off for the past week.,Electric Department
"Speed bump too high, damaging cars.",Road Department
Roof leakage worsening due to heavy rain.,Building Department
Road surface cracked and uneven. please resolve urgently.,Road Department
Waste blocking the drainage system.,Sanitation Department
Drain overflows every time it rains.,Sanitation Department
building foundation showing signs of sinking.,Building Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
"Street light bulb fused, area dark at night.",Electric Department
Roof leakage worsening due to heavy rain.,Building Department
Road full of potholes causing damage to vehicles.,Road Department
"Roadside barrier broken, safety concern.",Road Department
Pipeline burst causing water wastage.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
drain clogged and water stagnating.,Sanitation Department
Pipeline damaged during road work.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
Pipeline burst causing water wastage.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
Electric pole leaning dangerously after storm.,Electric Department
Faded lane markings causing confusion.,Road Department
Pillar has developed major cracks after rain.,Building Department
Street lights have been off for the past week.,Electric Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
"electric cables exposed, risky for pedestrians.",Electric Department
footpath broken and unsafe for walking.,Road Department
Road surface cracked and uneven.,Road Department
No water supply since morning.,Water Supply Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
Road surface cracked and uneven.,Road Department
Manhole overflowing with sewage water.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
sewage leaking into nearby houses.,Sewerage Department
"Garbage dumped on roadside, health hazard. please resolve urgently.",Sanitation Department
Dirty sewer water entering shops after rain.,Sewerage Department
Water supply interrupted for two days.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Pipeline damaged during road work.,Water Supply Department
No  water  supply  since  morning.,Water Supply Department
water pipes leaking heavily and flooding the area.,Water Supply Department
pillar has developed major cracks after rain.,Building Department
tap connection broken causing leakage.,Water Supply Department
Power outage since early morning due to faulty wires.,Electric Department
Potholes  filled  with  water  after  rain.,Road Department
Tap water muddy and smells bad.,Water Supply Department
Ceiling plaster falling off in the hallway.,Building Department
Road surface cracked and uneven. please resolve urgently.,Road Department
drainage water entering houses after rain.,Sanitation Department
Cracks appearing on the walls of the building. please resolve urgently.,Building Department
Current pole damaged and sparking.,Electric Department
Potholes filled with water after rain.,Road Department
Underground sewerage pipe damaged.,Sewerage Department
Loose electric wires hanging near the road.,Electric Department
balcony railing rusted and may break.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Street lights have been off for the past week.,Electric Department
tap connection broken causing leakage.,Water Supply Department
"Electric  cables  exposed,  risky  for  pedestrians.",Electric Department
speed  breakers  are  not  marked  properly  and  vehicles  are  slipping.,Road Department
waste blocking the drainage system.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
structural damage visible on the outer wall.,Building Department
uncollected garbage creating foul smell. please resolve urgently.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
"Roadside barrier broken, safety concern.",Road Department
Garbage has not been collected for several days.,Sanitation Department
underground sewerage pipe damaged.,Sewerage Department
dirty sewer water entering shops after rain.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
Manhole overflowing with sewage water.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
waste accumulation causing mosquito breeding.,Sanitation Department
Faded lane markings causing confusion. please resolve urgently.,Road Department
Underground sewerage pipe damaged.,Sewerage Department
manhole cover broken and unsafe.,Sewerage Department
drainage water overflowing in the street.,Sanitation Department
Pipeline damaged during road work.,Water Supply Department
Ceiling plaster falling off in the hallway.,Building Department
"electric cables exposed, risky for pedestrians. please resolve urgently.",Electric Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Wall near staircase damaged and unstable.,Building Department
Footpath broken and unsafe for walking.,Road Department
staircase railing loose and unsafe.,Building Department
Drainage water overflowing in the street.,Sanitation Department
Tap water muddy and smells bad.,Water Supply Department
drainage water overflowing in the street.,Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
no water supply since morning.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
potholes filled with water after rain.,Road Department
road surface cracked and uneven.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
"Street light bulb fused, area dark at night.",Electric Department
Open sewer line giving foul smell.,Sewerage Department
electric pole leaning dangerously after storm.,Electric Department
Sewer line blocked causing overflow.,Sewerage Department
Railing on the staircase is broken and dangerous.,Building Department
Current pole damaged and sparking.,Electric Department
Footpath broken and unsafe for walking.,Road Department
Loose electric wires hanging near the road.,Electric Department
Balcony railing rusted and may break.,Building Department
Pillar has developed major cracks after rain.,Building Department
Road divider damaged in an accident.,Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Water pipes leaking heavily and flooding the area. please resolve urgently.,Water Supply Department
Drain clogged and water stagnating.,Sanitation Department
Road divider damaged in an accident.,Road Department
Road divider damaged in an accident. please resolve urgently.,Road Department
Manhole overflowing with sewage water.,Sewerage Department
electric pole leaning dangerously after storm.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
drainage water entering houses after rain.,Sanitation Department
"Transformer overloaded, making loud noise.",Electric Department
Sewage water stagnating near road.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Sewage backflow in washrooms. please resolve urgently.,Sewerage Department
sewer pipeline clogged completely.,Sewerage Department
Street lights have been off for the past week.,Electric Department
Balcony railing rusted and may break.,Building Department
"Street light bulb fused, area dark at night.",Electric Department
tap water muddy and smells bad.,Water Supply Department
Waste blocking the drainage system.,Sanitation Department
Road divider damaged in an accident.,Road Department
Drainage water entering houses after rain. please resolve urgently.,Sanitation Department
Staircase railing loose and unsafe.,Building Department
Road full of potholes causing damage to vehicles.,Road Department
Transformer burst causing power outage.,Electric Department
"Speed bump too high, damaging cars.",Road Department
Loose electric wires hanging near the road.,Electric Department
Dirty sewer water entering shops after rain.,Sewerage Department
Loose electric wires hanging near the road. please resolve urgently.,Electric Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Pipeline burst causing water wastage.,Water Supply Department
Sewer line blocked causing overflow.,Sewerage Department
Roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Current pole damaged and sparking.,Electric Department
Electric pole leaning dangerously after storm.,Electric Department
Sewage leaking into nearby houses.,Sewerage Department
power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
open sewer line giving foul smell.,Sewerage Department
Manhole  overflowing  with  sewage  water.,Sewerage Department
structural damage visible on the outer wall.,Building Department
Railing on the staircase is broken and dangerous.,Building Department
No water supply since morning.,Water Supply Department
sewer pipeline clogged completely. please resolve urgently.,Sewerage Department
Road full of potholes causing damage to vehicles.,Road Department
Roof leakage worsening due to heavy rain.,Building Department
Dirty sewer water entering shops after rain.,Sewerage Department
sewer line blocked causing overflow.,Sewerage Department
pillar has developed major cracks after rain.,Building Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
uncollected garbage creating foul smell.,Sanitation Department
Electricity  supply  unstable  with  voltage  drops.,Electric Department
No water supply since morning.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Roof leakage worsening due to heavy rain.,Building Department
Building foundation showing signs of sinking.,Building Department
Sewer pipeline clogged completely.,Sewerage Department
street lights have been off for the past week.,Electric Department
Sewage water stagnating near road.,Sewerage Department
Cracks  appearing  on  the  walls  of  the  building.,Building Department
Transformer burst causing power outage.,Electric Department
"Electric cables exposed, risky for pedestrians.",Electric Department
staircase railing loose and unsafe.,Building Department
Manhole cover missing and cars getting stuck.,Road Department
No water supply since morning.,Water Supply Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
potholes filled with water after rain.,Road Department
Cracks appearing on the walls of the building.,Building Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
Tap connection broken causing leakage.,Water Supply Department
"Transformer overloaded, making loud noise.",Electric Department
Electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
Drainage water overflowing in the street.,Sanitation Department
Street lights have been off for the past week.,Electric Department
Wall near staircase damaged and unstable.,Building Department
drainage water overflowing in the street.,Sanitation Department
Power outage since early morning due to faulty wires.,Electric Department
Pipeline burst causing water wastage.,Water Supply Department
Dustbins overflowing and attracting flies. please resolve urgently.,Sanitation Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Faded lane markings causing confusion. please resolve urgently.,Road Department
pipeline burst causing water wastage. please resolve urgently.,Water Supply Department
Street lights have been off for the past week.,Electric Department
Cracks appearing on the walls of the building.,Building Department
Main pipeline leak creating swamp.,Water Supply Department
Street lights have been off for the past week.,Electric Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
Manhole overflowing with sewage water.,Sewerage Department
Sewer line blocked causing overflow.,Sewerage Department
Manhole cover missing and cars getting stuck.,Road Department
Tap connection broken causing leakage.,Water Supply Department
electricity supply unstable with voltage drops.,Electric Department
Tap  water  muddy  and  smells  bad.  please  resolve  urgently.,Water Supply Department
roof leakage worsening due to heavy rain.,Building Department
Roof leakage worsening due to heavy rain.,Building Department
Roof leakage worsening due to heavy rain.,Building Department
Dirty sewer water entering shops after rain.,Sewerage Department
Staircase  railing  loose  and  unsafe.,Building Department
Manhole  cover  missing  and  cars  getting  stuck.,Road Department
Manhole cover broken and unsafe. please resolve urgently.,Sewerage Department
underground sewerage pipe damaged. please resolve urgently.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Sewage backflow in washrooms.,Sewerage Department
Electricity supply unstable with voltage drops.,Electric Department
garbage has not been collected for several days.,Sanitation Department
Potholes filled with water after rain.,Road Department
water flow extremely low despite full pressure.,Water Supply Department
Structural damage visible on the outer wall.,Building Department
"Roadside barrier broken, safety concern.",Road Department
Roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Drainage water overflowing in the street.,Sanitation Department
Structural damage visible on the outer wall.,Building Department
Cracks  appearing  on  the  walls  of  the  building.,Building Department
Open sewer line giving foul smell.,Sewerage Department
loose electric wires hanging near the road.,Electric Department
Pillar has developed major cracks after rain.,Building Department
tap connection broken causing leakage.,Water Supply Department
low water pressure in all houses.,Water Supply Department
manhole cover missing and cars getting stuck.,Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Potholes filled with water after rain. please resolve urgently.,Road Department
"Speed bump too high, damaging cars.",Road Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
Pillar has developed major cracks after rain.,Building Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
water supply interrupted for two days.,Water Supply Department
Pillar  has  developed  major  cracks  after  rain.  please  resolve  urgently.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
Balcony railing rusted and may break.,Building Department
Sewage water stagnating near road.,Sewerage Department
garbage has not been collected for several days.,Sanitation Department
"Transformer overloaded, making loud noise.",Electric Department
staircase railing loose and unsafe. please resolve urgently.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
Sewage leaking into nearby houses.,Sewerage Department
Potholes  filled  with  water  after  rain.,Road Department
Water supply interrupted for two days. please resolve urgently.,Water Supply Department
Loose electric wires hanging near the road.,Electric Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Sewage water stagnating near road.,Sewerage Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
Dirty sewer water entering shops after rain. please resolve urgently.,Sewerage Department
electricity supply unstable with voltage drops.,Electric Department
Drainage water overflowing in the street.,Sanitation Department
Speed breakers are not marked properly and vehicles are slipping. please resolve urgently.,Road Department
low water pressure in all houses. please resolve urgently.,Water Supply Department
Dustbins overflowing and attracting flies.,Sanitation Department
No water supply since morning. please resolve urgently.,Water Supply Department
Pipeline burst causing water wastage.,Water Supply Department
Dirty sewer water entering shops after rain.,Sewerage Department
Tap water muddy and smells bad.,Water Supply Department
manhole cover broken and unsafe.,Sewerage Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
Electricity supply unstable with voltage drops.,Electric Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Dirty sewer water entering shops after rain.,Sewerage Department
Dirty sewer water entering shops after rain.,Sewerage Department
Railing on the staircase is broken and dangerous.,Building Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Sewage backflow in washrooms.,Sewerage Department
Open sewer line giving foul smell.,Sewerage Department
sewage backflow in washrooms. please resolve urgently.,Sewerage Department
Balcony railing rusted and may break.,Building Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Ceiling plaster falling off in the hallway.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Building foundation showing signs of sinking. please resolve urgently.,Building Department
"Street light bulb fused, area dark at night.",Electric Department
Drain clogged and water stagnating.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
pillar has developed major cracks after rain. please resolve urgently.,Building Department
Garbage has not been collected for several days.,Sanitation Department
Pipeline burst causing water wastage.,Water Supply Department
pillar has developed major cracks after rain.,Building Department
open sewer line giving foul smell.,Sewerage Department
drain clogged and water stagnating.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
main pipeline leak creating swamp.,Water Supply Department
tap connection broken causing leakage. please resolve urgently.,Water Supply Department
"Transformer overloaded, making loud noise.",Electric Department
Loose electric wires hanging near the road.,Electric Department
drainage water entering houses after rain.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Electricity supply unstable with voltage drops.,Electric Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
no water supply since morning.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
street lights have been off for the past week.,Electric Department
Building foundation showing signs of sinking.,Building Department
Pipeline damaged during road work.,Water Supply Department
